timestamp,ambient_temp,module_temp,irradiation,measured_dc1,measured_dc2,measured_dc3,measured_dc4,measured_dc5,measured_dc6,measured_dc7,measured_dc8,measured_dc9,measured_dc10,measured_dc11,measured_dc12,measured_dc13,measured_dc14,measured_dc15,measured_dc16,measured_dc17,measured_dc18,measured_dc19,measured_dc20,measured_dc21,measured_dc22
0,28.523,45.123,0.001234,71.49500274658203,53.96900177001953,56.88800048828125,54.696998596191406,60.95899963378906,55.5890007019043,59.742000579833984,54.638999938964844,63.11199951171875,64.60399627685547,55.56999969482422,58.55400085449219,55.29499816894531,60.231998443603516,55.374000549316406,78.46299743652344,52.301998138427734,48.21699905395508,47.0989990234375,51.507999420166016,53.882999420166016,47.30799865722656
1,32.145,50.876,0.006789,69.98699951171875,60.16600036621094,55.18199920654297,55.59199905395508,58.222999572753906,59.93600082397461,65.5530014038086,59.573001861572266,61.8489990234375,64.875,57.994998931884766,61.5629997253418,53.779998779296875,61.194000244140625,60.76100158691406,84.09200286865234,52.909000396728516,49.90999984741211,47.72800064086914,57.60300064086914,58.689998626708984,53.904998779296875
2,30.654,32.456,0.013546,65.74299621582031,46.974998474121094,47.24700164794922,49.67599868774414,53.597999572753906,48.854000091552734,56.67499923706055,51.428001403808594,54.380001068115234,65.45899963378906,51.667999267578125,53.12099838256836,46.68299865722656,55.457000732421875,51.650001525878906,77.79399871826172,49.803001403808594,46.393001556396484,44.430999755859375,46.90599822998047,52.00899887084961,42.979000091552734
3,33.872,40.654,0.035214,67.4209976196289,55.75400161743164,55.12799835205078,53.61600112915039,58.49700164794922,57.095001220703125,56.74399948120117,58.31999969482422,58.066001892089844,66.00800323486328,58.67900085449219,57.02199935913086,53.71799850463867,58.56999969482422,56.518001556396484,83.572998046875,51.19599914550781,48.599998474121094,44.88800048828125,53.45399856567383,55.922000885009766,49.22999954223633
4,27.934,35.234,0.078965,71.69999694824219,55.268001556396484,58.76599884033203,56.46099853515625,61.38800048828125,57.36000061035156,64.55500030517578,64.41400146484375,61.58300018310547,67.23699951171875,61.20899963378906,59.69200134277344,55.141998291015625,61.667999267578125,58.391998291015625,81.39700317382812,53.08300018310547,55.22600173950195,47.53099822998047,56.04800033569336,57.840999603271484,52.87200164794922
5,29.214,48.765,0.112456,55.47328992434074,70.95864405020029,75.3212599357244,78.48634968145173,54.55729931419879,82.00219262500437,104.61518505530246,61.728961057283186,96.9397839291677,40.397161449251676,86.27353495893323,97.41962628472939,83.4512022287212,55.854597980051295,66.08419770876945,52.495759541365025,69.44548859167516,37.65632704334227,79.68403963635456,64.08064281817718,66.66564560950603,82.97749310450796
6,31.457,37.123,0.198743,82.90599822998047,68.7979965209961,72.48699951171875,68.58799743652344,68.62100219726562,65.71900177001953,76.1719970703125,77.0270004272461,69.33300018310547,82.00800323486328,66.52899932861328,70.13899993896484,66.89299774169922,73.87799835205078,65.16000366210938,99.9260025024414,62.02399826049805,68.76699829101562,55.972999572753906,59.316001892089844,67.56099700927734,59.0629997253418
7,30.987,42.432,0.245678,89.34600067138672,71.88899993896484,83.37699890136719,71.68599700927734,70.4219970703125,73.25499725341797,80.9540023803711,86.44999694824219,80.09700012207031,92.43299865722656,72.90899658203125,79.7959976196289,73.35399627685547,79.50499725341797,75.06600189208984,109.37999725341797,64.21600341796875,76.88800048828125,65.16899871826172,69.19999694824219,71.1449966430664,70.90799713134766
8,26.345,30.987,0.321476,92.80699920654297,74.73799896240234,87.71800231933594,77.00199890136719,75.06700134277344,78.6449966430664,85.89800262451172,85.7770004272461,77.71099853515625,108.43499755859375,79.11799621582031,82.9280014038086,78.96399688720703,82.96099853515625,75.73400115966797,105.96900177001953,74.7959976196289,85.88700103759766,71.37000274658203,71.49800109863281,81.75299835205078,67.6780014038086
9,29.876,41.876,0.379863,107.46800231933594,89.90899658203125,96.38400268554688,91.4729995727539,86.60399627685547,80.93099975585938,92.4540023803711,97.5719985961914,88.10800170898438,110.19400024414062,84.27200317382812,95.7040023803711,93.97000122070312,90.86100006103516,88.45600128173828,115.17900085449219,79.34100341796875,95.27999877929688,75.42900085449219,83.89299774169922,84.37899780273438,81.58999633789062
10,32.109,50.432,0.394561,168.41574758798683,115.0586233800947,56.00125596286413,67.33530008226205,130.95021253608382,73.01999463375533,137.40858309886693,107.13412463698377,119.10741629112371,150.52342646356522,82.81067867219183,114.56794293720141,120.89192418783878,139.51252284331966,48.55631663495351,142.74304127203575,49.33963523206035,138.99532325766074,56.84264199549947,72.77341138957502,76.87784233333781,42.90418573470184
